Desa,Persentase gaji di atas UMK,Persentase sumber listrik PLN,Persentase air bersih PDAM,"Persentase bangunan rumah bukan ""rumah kecil""",Rata-rata luas lahan (Ha),Rata-rata produksi pertanian (ton),Rata-rata tangkapan ikan (Kg),Persentase petani membeli pupuk,Persentase petani membeli pestisida,Persentase petani menyewa alat pertanian,Persentase kepemilikan ternak,Persentase pembelian obat,Persentase balita sering diperiksa di Posyandu,Persentase terdapat anggota keluarga yang sering sakit,Persentase mendapat bantuan dari pemerintah
Balauring,20.0,100.0,76.66666666666667,80.0,10.35,0.4966666666666667,9.3,66.66666666666666,11.11111111111111,0.0,66.66666666666666,10.0,100.0,33.33333333333333,70.0
Benihading,66.66666666666666,100.0,0.0,50.0,1.1562333333333332,0.5929586666666666,0.0,0.0,7.4074074074074066,0.0,100.0,20.0,100.0,63.33333333333333,83.33333333333334
Bour,21.428571428571427,96.42857142857143,0.0,57.14285714285714,0.720125,2.130035714285714,0.8214285714285714,50.0,83.33333333333334,41.66666666666667,92.85714285714286,14.285714285714285,100.0,35.714285714285715,85.71428571428571
Dikesare,6.666666666666667,100.0,0.0,66.66666666666666,0.20593333333333333,20.127109799999996,7.666666666666667,0.0,0.0,0.0,76.66666666666667,3.3333333333333335,95.45454545454545,20.0,76.66666666666667
Duawutun,20.0,100.0,100.0,80.0,0.9283333333333333,5.889333333333334,1.2333333333333334,0.0,0.0,0.0,66.66666666666666,0.0,100.0,10.0,50.0
Dulitukan,23.333333333333332,100.0,16.666666666666664,63.33333333333333,1.0255833333333333,1.7690633333333332,0.3,0.0,0.0,0.0,93.33333333333333,36.666666666666664,100.0,36.666666666666664,63.33333333333333
Hoelea I,16.666666666666664,100.0,0.0,70.0,0.47583333333333333,0.6492,0.43333333333333335,85.71428571428571,57.14285714285714,0.0,93.33333333333333,10.0,83.33333333333334,30.0,86.66666666666667
Ile Kimok,20.0,100.0,0.0,76.66666666666667,23.956500000000002,7.212166666666666,0.0,7.142857142857142,53.57142857142857,0.0,96.66666666666667,3.3333333333333335,83.33333333333334,86.66666666666667,80.0
Kalikur,46.666666666666664,100.0,0.0,70.0,16.93316666666667,14.839666666666666,2.7333333333333334,100.0,100.0,11.11111111111111,43.333333333333336,20.0,83.33333333333334,16.666666666666664,46.666666666666664
Katakeja,32.25806451612903,96.7741935483871,100.0,70.96774193548387,0.3303225806451613,0.02838709677419355,0.0,0.0,33.33333333333333,66.66666666666666,83.87096774193549,35.483870967741936,50.0,38.70967741935484,61.29032258064516
Labalimut,36.666666666666664,100.0,100.0,63.33333333333333,138.23279,57.655899999999995,0.0,0.0,0.0,7.6923076923076925,83.33333333333334,23.333333333333332,100.0,73.33333333333333,70.0
Lamatuka,32.25806451612903,100.0,100.0,74.19354838709677,5.4195,0.4615258064516129,2.5161290322580645,0.0,0.0,0.0,90.32258064516128,25.806451612903224,100.0,54.83870967741935,61.29032258064516
Laranwutun,30.0,100.0,100.0,80.0,91.53333333333333,8.142516666666667,2.2666666666666666,0.0,57.14285714285714,7.142857142857142,93.33333333333333,26.666666666666668,77.27272727272727,60.0,60.0
Lolong,10.0,100.0,100.0,43.333333333333336,0.23718,0.11726666666666667,0.36666666666666664,0.0,0.0,0.0,83.33333333333334,13.333333333333334,100.0,80.0,80.0
Mahal,10.0,100.0,3.3333333333333335,66.66666666666666,91.9233,21.061866666666667,0.1,68.75,87.5,12.5,66.66666666666666,13.333333333333334,100.0,10.0,30.0
Merdeka,43.333333333333336,100.0,0.0,83.33333333333334,2.3176666666666668,0.36656666666666665,0.21666666666666667,7.142857142857142,28.57142857142857,7.142857142857142,83.33333333333334,3.3333333333333335,100.0,56.666666666666664,40.0
Muruona,7.317073170731707,100.0,100.0,60.97560975609756,1.4347560975609757,2.6506097560975608,1.2195121951219512,4.3478260869565215,52.17391304347826,0.0,85.36585365853658,14.634146341463413,100.0,82.92682926829268,63.41463414634146
Nubamado,16.666666666666664,90.0,100.0,63.33333333333333,1.0619166666666666,26.6159,0.0,0.0,30.76923076923077,0.0,73.33333333333333,16.666666666666664,100.0,56.666666666666664,46.666666666666664
Pada,22.58064516129032,93.54838709677419,93.54838709677419,64.51612903225806,0.5525161290322581,0.5287096774193548,1.1290322580645162,16.666666666666664,8.333333333333332,16.666666666666664,64.51612903225806,6.451612903225806,92.85714285714286,41.935483870967744,80.64516129032258
Paubokol,3.3333333333333335,100.0,0.0,63.33333333333333,9.157466666666666,0.7143333333333334,0.0,4.761904761904762,38.095238095238095,0.0,73.33333333333333,10.0,100.0,70.0,80.0
Puor,26.666666666666668,100.0,0.0,83.33333333333334,0.80545,0.45030000000000003,0.0,12.5,0.0,18.75,80.0,13.333333333333334,100.0,30.0,76.66666666666667
Riangbao,23.333333333333332,100.0,100.0,76.66666666666667,0.54494,50.167,0.5666666666666667,0.0,36.36363636363637,0.0,83.33333333333334,3.3333333333333335,87.5,26.666666666666668,80.0
Tagawiti,3.3333333333333335,100.0,0.0,66.66666666666666,0.731,12.217333333333332,3.3,0.0,0.0,0.0,66.66666666666666,20.0,,23.333333333333332,50.0
Todanara,17.24137931034483,100.0,0.0,96.55172413793103,0.8765172413793103,36.516089655172415,0.1724137931034483,5.0,50.0,10.0,3.4482758620689653,17.24137931034483,84.61538461538461,44.827586206896555,72.41379310344827
