Desa,Rata-rata Penghasilan,Persentase sumber listrik PLN,Persentase air bersih PDAM,Rata-rata Luas Bangunan Rumah (m2),Total seluruh luas lahan (Ha),Total seluruh produksi pertanian (ton),Total seluruh tangkapan ikan (Kg),Persentase petani membeli pupuk,Persentase petani membeli pestisida,Persentase petani menyewa alat pertanian,Total jumlah ternak,Persentase pembelian obat,Persentase balita sering diperiksa di Posyandu,Persentase terdapat anggota keluarga yang sering sakit,Persentase mendapat bantuan dari pemerintah
Balauring,1398356.6666666667,100.0,76.66666666666667,82.93333333333334,310.5,14.9,279.0,66.66666666666666,11.11111111111111,0.0,233.0,10.0,100.0,33.33333333333333,70.0
Benihading,3638689.7333333334,100.0,0.0,41.4,34.687,17.78876,0.0,0.0,7.4074074074074066,0.0,380.0,20.0,100.0,63.33333333333333,83.33333333333334
Bour,1528589.2857142857,96.42857142857143,0.0,62.107142857142854,20.1635,59.641,23.0,50.0,83.33333333333334,41.66666666666667,273.0,14.285714285714285,100.0,35.714285714285715,85.71428571428571
Dikesare,756666.6666666666,100.0,0.0,80.66666666666667,6.178,603.8132939999999,230.0,0.0,0.0,0.0,174.0,3.3333333333333335,95.45454545454545,20.0,76.66666666666667
Duawutun,1591666.6666666667,100.0,100.0,306.3666666666667,27.85,176.68,37.0,0.0,0.0,0.0,306.0,0.0,100.0,10.0,50.0
Dulitukan,1747400.0,100.0,16.666666666666664,53.93333333333333,30.767500000000002,53.0719,9.0,0.0,0.0,0.0,435.0,36.666666666666664,100.0,36.666666666666664,63.33333333333333
Hoelea I,2566666.6666666665,100.0,0.0,59.975,14.275,19.476,13.0,85.71428571428571,57.14285714285714,0.0,212.0,10.0,83.33333333333334,30.0,86.66666666666667
Ile Kimok,1750000.0,100.0,0.0,59.833333333333336,718.695,216.36499999999998,0.0,7.142857142857142,53.57142857142857,0.0,518.0,3.3333333333333335,83.33333333333334,86.66666666666667,80.0
Kalikur,2068333.3333333333,100.0,0.0,50.1,507.995,445.19,82.0,100.0,100.0,11.11111111111111,164.0,20.0,83.33333333333334,16.666666666666664,46.666666666666664
Katakeja,2499032.2580645164,96.7741935483871,100.0,64.53225806451613,10.24,0.88,0.0,0.0,33.33333333333333,66.66666666666666,309.0,35.483870967741936,50.0,38.70967741935484,61.29032258064516
Labalimut,1978333.3333333333,100.0,100.0,44.4,4146.9837,1729.677,0.0,0.0,0.0,7.6923076923076925,130.0,23.333333333333332,100.0,73.33333333333333,70.0
Lamatuka,2627451.6129032257,100.0,100.0,80.35483870967742,168.0045,14.3073,78.0,0.0,0.0,0.0,240.0,25.806451612903224,100.0,54.83870967741935,61.29032258064516
Laranwutun,1735000.0,100.0,100.0,68.6,2746.0,244.2755,68.0,0.0,57.14285714285714,7.142857142857142,352.0,26.666666666666668,77.27272727272727,60.0,60.0
Lolong,780000.0,100.0,100.0,36.3,7.1154,3.5180000000000002,11.0,0.0,0.0,0.0,160.0,13.333333333333334,100.0,80.0,80.0
Mahal,860833.3333333334,100.0,3.3333333333333335,61.36666666666667,2757.699,631.856,3.0,68.75,87.5,12.5,643.0,13.333333333333334,100.0,10.0,30.0
