Desa,Persentase gaji di atas UMK,Persentase sumber listrik PLN,Persentase air bersih PDAM,"Persentase bangunan rumah bukan ""rumah kecil""",Rata-rata luas lahan (Ha),Rata-rata produksi pertanian (ton),Rata-rata tangkapan ikan (Kg),Persentase petani membeli pupuk,Persentase petani membeli pestisida,Persentase petani menyewa alat pertanian,Persentase kepemilikan ternak,Persentase tidak membeli obat,Persentase keluarga sehat,Persentase kemandirian perekonomian desa,KM_Cluster,HC_Cluster,DB_Cluster_minsample_2,DB_Cluster_minsample_3,desaa
Balauring,20.0,100.0,76.66666666666667,80.0,10.35,0.4966666666666667,9.3,66.66666666666666,11.11111111111111,0.0,66.66666666666666,90.0,66.66666666666667,30.0,1,2,-1,-1,Balauring
Benihading I,66.66666666666666,100.0,0.0,50.0,1.1562333333333332,0.5929586666666666,0.0,0.0,7.4074074074074066,0.0,100.0,80.0,36.66666666666667,16.666666666666657,1,2,-1,-1,Benihading
Bour,21.428571428571427,96.42857142857144,0.0,57.14285714285714,0.720125,2.130035714285714,0.8214285714285714,50.0,83.33333333333334,41.66666666666667,92.85714285714286,85.71428571428572,64.28571428571428,14.285714285714292,1,2,-1,-1,Bour
Dikesare,6.666666666666667,100.0,0.0,66.66666666666666,0.2059333333333333,20.1271098,7.666666666666667,0.0,0.0,0.0,76.66666666666667,96.66666666666669,80.0,23.33333333333333,1,2,0,0,Dikesare
Duawutun,20.0,100.0,100.0,80.0,0.9283333333333332,5.889333333333334,1.2333333333333334,0.0,0.0,0.0,66.66666666666666,100.0,90.0,50.0,0,1,-1,-1,Duawutun
Dulitukan,23.33333333333333,100.0,16.666666666666664,63.33333333333333,1.0255833333333333,1.7690633333333332,0.3,0.0,0.0,0.0,93.33333333333331,63.333333333333336,63.333333333333336,36.66666666666667,1,2,0,0,Dulitukan
Hoelea I,16.666666666666664,100.0,0.0,70.0,0.4758333333333333,0.6492,0.4333333333333333,85.71428571428571,57.14285714285714,0.0,93.33333333333331,90.0,70.0,13.333333333333329,1,2,-1,-1,Hoelea I
Ile Kimok,20.0,100.0,0.0,76.66666666666667,23.9565,7.212166666666666,0.0,7.142857142857142,53.57142857142857,0.0,96.66666666666669,96.66666666666669,13.333333333333329,20.0,1,2,0,0,Ile Kimok
Kalikur,46.66666666666666,100.0,0.0,70.0,16.93316666666667,14.839666666666666,2.7333333333333334,100.0,100.0,11.11111111111111,43.333333333333336,80.0,83.33333333333334,53.333333333333336,1,2,-1,-1,Kalikur
Katakeja,32.25806451612903,96.7741935483871,100.0,70.96774193548387,0.3303225806451613,0.0283870967741935,0.0,0.0,33.33333333333333,66.66666666666666,83.87096774193549,64.51612903225806,61.29032258064516,38.70967741935484,0,1,-1,-1,Katakeja
