ID,Desa/Kelurahan,Sumber Limbah,Pengolahan
22180,Lolong,Rumah Tangga,Tidak Diolah
22190,Paubokol,Rumah Tangga,Tidak ada
22195,Paubokol,Rumah Tangga,Tidak ada
22200,Paubokol,Tidak ada,Tidak ada
22205,Paubokol,Rumah Tangga,Tidak ada
22206,Paubokol,Rumah Tangga,Tidak Diolah
22208,Paubokol,Tidak ada,Tidak ada
22210,Paubokol,Rumah Tangga,Tidak Diolah
22223,Paubokol,Rumah Tangga,Tidak ada
22226,Paubokol,Rumah Tangga,Tidak Diolah
22227,Paubokol,Rumah Tangga,Tidak ada
22233,Paubokol,Rumah Tangga,Tidak Diolah
22236,Paubokol,Tidak ada,Tidak ada
22238,Paubokol,Rumah Tangga,Tidak Diolah
22244,Paubokol,,
22245,Paubokol,Rumah Tangga,Tidak Diolah
22253,Paubokol,Rumah Tangga,Tidak Diolah
22259,Duawutun,Rumah Tangga,Tidak ada
22260,Duawutun,Rumah Tangga,Tidak Diolah
22262,Duawutun,Rumah Tangga,Tidak Diolah
22272,Duawutun,,
22297,Balauring,Rumah Tangga,Tidak Diolah
22298,Balauring,Pertanian dan Perkebunan,Diolah
22300,Balauring,Rumah Tangga,Tidak Diolah
22301,Balauring,Rumah Tangga,Tidak Diolah
22303,Balauring,Rumah Tangga,Tidak Diolah
22309,Balauring,Pertanian dan Perkebunan,Tidak ada
22325,Labalimut,Rumah Tangga,Diolah
22326,Labalimut,Rumah Tangga,Tidak Diolah
22327,Labalimut,Rumah Tangga,Diolah
22328,Labalimut,Rumah Tangga,Tidak Diolah
22329,Labalimut,Rumah Tangga Pertanian dan Perkebunan,Tidak ada Diolah
22330,Labalimut,Rumah Tangga Pertanian dan Perkebunan,Diolah
22332,Nubamado,,
22334,Nubamado,Tidak ada,Tidak ada
22335,Nubamado,Rumah Tangga Pertanian dan Perkebunan Peternakan Perikanan,Tidak Diolah
22336,Nubamado,Rumah Tangga,Tidak Diolah
22338,Nubamado,Rumah Tangga Peternakan dan Perikanan,Tidak Diolah
22339,Nubamado,Pertanian dan Perkebunan Rumah Tangga,Tidak Diolah
22340,Nubamado,Tidak ada,Tidak ada
22342,Nubamado,Rumah Tangga Pertanian dan Perkebunan Peternakan Perikanan,Tidak Diolah ada
22343,Nubamado,Tidak ada,Tidak ada
22344,Nubamado,Rumah Tangga,Diolah
