Desa/Kelurahan,I.1.1.1,I.2.1.1,I.3.1.1,I.4.1.1,II.1.1.1,II.1.2.1,II.1.3.1,II.2.2.1,II.3.3.1,II.3.3.2,III.1.1.1,III.1.1.2,III.1.2.1,III.1.4.1
Balauring,0,4,0,4,4,2,1.0,0,0,2,0,0,3,0
Benihading,1,4,1,4,4,4,4.0,4,0,1,1,0,4,0
Bour,1,3,1,3,0,3,4.0,3,4,3,1,0,3,1
Dikesare,0,1,0,3,4,4,,2,4,1,0,0,3,0
Duawutun,4,4,0,3,4,4,,2,4,3,0,0,4,0
Dulitukan,4,2,0,4,4,4,,4,4,1,0,0,3,0
Hoelea I,1,4,0,4,2,1,0.0,1,4,2,0,0,3,0
Ile Kimok,0,4,0,4,2,4,2.0,0,4,2,1,0,4,0
Kalikur,0,3,0,4,0,0,1.0,1,4,2,0,0,3,0
Katakeja,1,1,0,1,2,4,1.0,4,4,1,0,0,3,0
Labalimut,0,4,0,4,4,4,2.0,3,4,3,1,0,3,4
Lamatuka,0,4,0,4,4,4,2.0,4,0,2,1,0,3,0
Laranwutun,0,3,0,3,2,4,2.0,3,4,3,0,0,3,0
Lolong,0,2,0,4,4,4,,4,0,0,1,0,4,0
Mahal,0,3,0,4,0,2,,2,4,2,0,0,3,1
Merdeka,1,3,0,4,3,4,,4,0,1,1,0,3,0
Muruona,4,1,0,2,2,4,,3,0,1,0,0,3,0
Nubamado,1,3,1,4,3,4,3.0,3,4,1,0,0,4,0
Pada,0,2,1,2,4,4,0.0,3,4,1,1,0,3,0
Paubokol,0,4,0,4,2,4,,3,0,3,1,0,3,0
Puor,1,3,1,4,4,4,1.0,4,0,2,1,0,3,0
Riangbao,0,3,0,3,3,4,4.0,2,4,1,1,0,3,0
Tagawiti,4,2,0,4,4,4,,2,0,1,1,0,3,0
Todanara,1,2,0,2,2,4,1.0,1,4,1,0,0,3,4
Tubuk Rajan,1,4,0,4,4,4,0.0,3,4,3,1,0,3,3
Tubungwalang,0,3,0,4,4,2,0.0,1,4,2,0,0,4,0
Waienga,0,3,0,4,0,4,4.0,0,0,1,1,0,3,2
Watodiri,4,3,0,3,4,4,,4,4,1,1,0,3,1
Wuakerong,1,3,0,4,3,4,,4,4,3,1,0,3,0
