ID,Desa/Kelurahan,Total_Kalori,kalori_200g_Biskuit_Roti_Kue_Kemasan,kalori_400g_MSG,kalori_botol_Kecap,kalori_botol_Minuman_Fermentasi,kalori_botol_Minuman_Kemasan,kalori_bungkus_Bumbu_Kemasan,kalori_bungkus_Mie_Instan,kalori_bungkus_Rokok_Kemasan,kalori_bungkus_Teh,kalori_butir_Kelapa,kalori_kg_Ayam,kalori_kg_Bawang_Merah,kalori_kg_Bawang_Putih,kalori_kg_Bayam,kalori_kg_Beras_Lokal_Sawah_Ladang,kalori_kg_Beras_Toko,kalori_kg_Cabai_Besar,kalori_kg_Cabai_Kecil,"kalori_kg_Daging_Sapi_Kerbau_Kambing_Babi,dll",kalori_kg_Daun_Ubi,kalori_kg_Gula_Pasir,kalori_kg_Ikan_dan_Boga_Laut_Kering,kalori_kg_Ikan_dan_Boga_Laut_Segar,kalori_kg_Jagung_Hibrida,kalori_kg_Jagung_Lokal,kalori_kg_Jeruk,kalori_kg_Jewawut_Weteng,kalori_kg_Kacang-kacangan,kalori_kg_Kangkung,kalori_kg_Kental_Manis,kalori_kg_Kubis,kalori_kg_Labu,kalori_kg_Mangga,kalori_kg_Minyak_Goreng_Kemasan_Toko,kalori_kg_Minyak_Kelapa,kalori_kg_Pepaya,kalori_kg_Pisang,kalori_kg_Salak,kalori_kg_Sawi,kalori_kg_Singkong,kalori_kg_Susu_Bubuk_UHT,kalori_kg_Tahu_dan_Tempe,kalori_kg_Telor,kalori_kg_Timun,kalori_kg_Tomat,kalori_kg_Umbi-umbian_lain,kalori_kg_Wortel,kalori_ons_Kemiri,kalori_ons_Lada
22180,Lolong,82116.14,916.0,0.0,159.77,0.0,0.0,0.0,846.74,0.0,0.0,0.0,0.0,227.69,228.77,172.95,3760.0,42500.0,77.53,389.95,0.0,0.0,4135.4,648.22,417.34,3660.0,3660.0,0.0,0.0,0.0,316.31,0.0,0.0,465.4,0.0,7018.1,0.0,0.0,0.0,0.0,273.6,7454.89,528.87,800.0,953.89,86.38,181.45,1660.28,159.36,263.06,154.2
22190,Paubokol,1924275.41,0.0,0.0,5751.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61122.98,6830.67,8235.8,3113.18,0.0,1326000.0,0.0,0.0,0.0,0.0,124061.93,0.0,30048.2,0.0,0.0,2546.69,0.0,52996.04,5693.63,0.0,0.0,0.0,0.0,105271.51,0.0,0.0,0.0,4247.49,4924.76,0.0,63463.92,76800.0,34339.87,1036.61,2177.36,0.0,1912.27,0.0,3700.69
22195,Paubokol,1470538.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31834.89,5464.53,5490.53,0.0,376000.0,442000.0,0.0,0.0,0.0,0.0,49624.77,0.0,10016.07,0.0,0.0,0.0,0.0,0.0,15183.01,143259.34,0.0,0.0,0.0,126325.81,0.0,0.0,0.0,0.0,0.0,231000.0,0.0,0.0,34339.87,0.0,0.0,0.0,0.0,0.0,0.0
22200,Paubokol,5328784.35,0.0,0.0,3834.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6830.67,8235.8,0.0,2105600.0,1547000.0,0.0,0.0,0.0,0.0,54587.25,0.0,30048.2,0.0,732000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210543.02,0.0,0.0,0.0,0.0,6566.35,308000.0,0.0,19200.0,34339.87,86.38,0.0,260000.0,1912.27,0.0,0.0
22205,Paubokol,4250147.36,68700.0,0.0,0.0,2138.49,0.0,0.0,0.0,24888.62,0.0,0.0,45842.24,13661.34,13726.33,6226.35,1504000.0,884000.0,0.0,23397.13,0.0,0.0,124061.93,0.0,80128.54,0.0,183000.0,0.0,0.0,105992.09,0.0,95506.23,0.0,0.0,0.0,210543.02,0.0,0.0,0.0,0.0,9849.52,616000.0,63463.92,76800.0,57233.11,0.0,0.0,26000.0,5736.8,0.0,9251.71
22206,Paubokol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22208,Paubokol,3994019.44,20610.0,0.0,13420.91,0.0,2812.19,0.0,36579.17,0.0,0.0,0.0,61122.98,6830.67,6863.17,0.0,1128000.0,340000.0,0.0,0.0,0.0,0.0,223311.47,0.0,45072.3,0.0,439200.0,0.0,0.0,0.0,0.0,143259.34,0.0,0.0,0.0,673737.67,0.0,0.0,0.0,0.0,4924.76,554400.0,92022.68,9600.0,34339.87,0.0,0.0,156000.0,1912.27,0.0,0.0
22210,Paubokol,3257591.76,0.0,0.0,958.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152807.45,2732.27,2745.27,0.0,1880000.0,442000.0,0.0,0.0,0.0,0.0,49624.77,0.0,10016.07,0.0,57919.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105271.51,0.0,0.0,0.0,0.0,4924.76,462000.0,0.0,16000.0,68679.74,0.0,0.0,0.0,1912.27,0.0,0.0
22223,Paubokol,4368152.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12905.21,0.0,0.0,0.0,5464.53,5490.53,1037.73,2256000.0,1224000.0,0.0,0.0,0.0,0.0,99249.54,0.0,20032.13,0.0,219600.0,2546.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210543.02,0.0,0.0,0.0,0.0,3283.17,308000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22226,Paubokol,4264825.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5162.08,0.0,0.0,0.0,5464.53,5490.53,2075.45,1052800.0,2210000.0,0.0,0.0,0.0,0.0,99249.54,0.0,60096.4,0.0,329400.0,0.0,0.0,0.0,3795.75,0.0,0.0,0.0,0.0,168434.42,0.0,0.0,0.0,16989.98,3283.17,123200.0,88849.48,38400.0,45786.49,1036.61,4354.73,0.0,956.13,0.0,0.0
